neologism,control
cooktop,sauce-pan
post-treatment,gastrointestinal
postdoc,ehrlich
skateboarder,31-year-old
tapenade,brogans
preservationist,expressionist
five-spice,lozenges
private-label,high-technology
swingman,dillard
end-user,markup
rotavirus,vaginal
tallgrass,corn-fields
ramen,dippers
favorability,danilevsky
neurobiology,localization
all-sky,strobe
alendronate,subnormal
e-business,york-based
randomization,direct-current
cyberpunk,satirized
phaser,agena
audiogram,operant
surimi,silkworm
lensing,vortices
early-onset,epithelial
cybersecurity,interconnection
dumbing,sexist
novela,grata
serotype,acetone
scheduler,three-phase
cook-off,quoits
infill,dowels
merengue,trolled
noncredit,homemaking
point-and-shoot,american-made
bodysuit,nut-brown
queso,vino
criminalist,dynamiter
fifth-grader,bandleader
quick-release,bell-shaped
atrazine,excision
bonobo,orang
polyimide,molybdenum
all-wheel-drive,lock-mechanism
meaning-making,uncritically
listserv,hookup
cross-sex,mitotic
workflow,tutorial
triathlete,32-year-old
waypoint,launcher
reader-response,expressionism
p-value,placebo
micromanagement,policy-makers
maquiladora,high-cost
